match_id,Winner,Blue Picks,Red Picks
199,Blue,"Renekton,Sejuani,Jayce,Kai'Sa,Nautilus","Rumble,Rell,Lucian,Zeri,Rakan"
200,Blue,"Rumble,Poppy,Azir,Xayah,Alistar","Gnar,Rell,Xerath,Zeri,Nautilus"
201,Blue,"Jax,Lee Sin,Neeko,Kai'Sa,Rakan","K'Sante,Poppy,Aurelion Sol,Ezreal,Rell"
202,Blue,"K'Sante,Maokai,Tristana,Ezreal,Braum","Aatrox,Nocturne,Neeko,Kai'Sa,Rell"
203,Red,"K'Sante,Trundle,LeBlanc,Kai'Sa,Rakan","Gwen,Viego,Neeko,Draven,Rell"
204,Blue,"Rumble,Sejuani,Tristana,Kai'Sa,Rakan","Aatrox,Viego,Neeko,Xayah,Nautilus"
205,Red,"K'Sante,Sejuani,Tristana,Ezreal,Braum","Gwen,Viego,Neeko,Kai'Sa,Rell"
206,Red,"Ornn,Kindred,Ahri,Ashe,Milio","K'Sante,Kha'Zix,Sylas,Kai'Sa,Rakan"
207,Blue,"K'Sante,Sejuani,Tristana,Xayah,Rakan","Jax,Viego,Neeko,Kai'Sa,Nautilus"
208,Red,"Rumble,Maokai,Tristana,Zeri,Rakan","Aatrox,Viego,Neeko,Kai'Sa,Rell"
209,Red,"K'Sante,Nocturne,Neeko,Ezreal,Leona","Fiora,Viego,Ahri,Kai'Sa,Alistar"
210,Red,"Renekton,Ivern,Azir,Sivir,Rakan","Jax,Rell,Corki,Xayah,Nautilus"
211,Red,"Ornn,Kha'Zix,LeBlanc,Ezreal,Rell","Renekton,Sejuani,Kai'Sa,Sivir,Rakan"
212,Blue,"Jax,Rell,Tristana,Kai'Sa,Nautilus","Renekton,Maokai,Jayce,Aphelios,Alistar"
213,Red,"Fiora,Sejuani,Azir,Kai'Sa,Rell","K'Sante,Maokai,Jayce,Ezreal,Nautilus"
214,Red,"K'Sante,Sejuani,Tristana,Zeri,Nautilus","Renekton,Maokai,Jayce,Ezreal,Leona"
215,Blue,"Renekton,Nocturne,Azir,Aphelios,Rell","K'Sante,Sejuani,Xerath,Xayah,Alistar"
216,Blue,"K'Sante,Viego,Neeko,Tristana,Taric","Aatrox,Poppy,Azir,Kai'Sa,Renata Glasc"
217,Red,"K'Sante,Poppy,Cassiopeia,Ezreal,Nautilus","Gwen,Ivern,Tristana,Kai'Sa,Leona"
218,Blue,"K'Sante,Rell,Ziggs,Tristana,Taric","Jax,Sejuani,Ahri,Kai'Sa,Rakan"
219,Blue,"Jax,Rell,Tristana,Kai'Sa,Alistar","Aatrox,Sejuani,Ahri,Varus,Rakan"
220,Red,"Poppy,Jarvan IV,Taliyah,Kai'Sa,Amumu","Gangplank,Viego,Azir,Xayah,Rakan"
221,Blue,"Rumble,Jarvan IV,Taliyah,Kai'Sa,Rakan","K'Sante,Sejuani,Azir,Xayah,Nautilus"
222,Blue,"Renekton,Nidalee,Jayce,Kai'Sa,Rell","K'Sante,Viego,Lissandra,Tristana,Maokai"
223,Red,"Rumble,Sejuani,Jayce,Zeri,Nautilus","K'Sante,Trundle,Azir,Kai'Sa,Maokai"
224,Blue,"K'Sante,Maokai,Jayce,Ezreal,Rell","Renekton,Sejuani,Azir,Kai'Sa,Rakan"
